file,surah,ayah,reciter,text
ayyoub_001001.wav,1,1,ayyoub,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
ayyoub_001002.wav,1,2,ayyoub,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
ayyoub_001003.wav,1,3,ayyoub,الرَّحْمَٰنِ الرَّحِيمِ
ayyoub_001004.wav,1,4,ayyoub,مَالِكِ يَوْمِ الدِّينِ
ayyoub_001005.wav,1,5,ayyoub,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
ayyoub_001006.wav,1,6,ayyoub,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
ayyoub_001007.wav,1,7,ayyoub,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
hudhaify_001001.wav,1,1,hudhaify,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
hudhaify_001002.wav,1,2,hudhaify,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
hudhaify_001003.wav,1,3,hudhaify,الرَّحْمَٰنِ الرَّحِيمِ
hudhaify_001004.wav,1,4,hudhaify,مَالِكِ يَوْمِ الدِّينِ
hudhaify_001005.wav,1,5,hudhaify,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
hudhaify_001006.wav,1,6,hudhaify,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
hudhaify_001007.wav,1,7,hudhaify,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
maher_001001.wav,1,1,maher,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
maher_001002.wav,1,2,maher,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
maher_001003.wav,1,3,maher,الرَّحْمَٰنِ الرَّحِيمِ
maher_001004.wav,1,4,maher,مَالِكِ يَوْمِ الدِّينِ
maher_001005.wav,1,5,maher,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
maher_001006.wav,1,6,maher,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
maher_001007.wav,1,7,maher,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
minshawy_001001.wav,1,1,minshawy,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
minshawy_001002.wav,1,2,minshawy,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
minshawy_001003.wav,1,3,minshawy,الرَّحْمَٰنِ الرَّحِيمِ
minshawy_001004.wav,1,4,minshawy,مَالِكِ يَوْمِ الدِّينِ
minshawy_001005.wav,1,5,minshawy,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
minshawy_001006.wav,1,6,minshawy,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
minshawy_001007.wav,1,7,minshawy,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
mishary_001001.wav,1,1,mishary,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
mishary_001002.wav,1,2,mishary,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
mishary_001003.wav,1,3,mishary,الرَّحْمَٰنِ الرَّحِيمِ
mishary_001004.wav,1,4,mishary,مَالِكِ يَوْمِ الدِّينِ
mishary_001005.wav,1,5,mishary,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
mishary_001006.wav,1,6,mishary,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
mishary_001007.wav,1,7,mishary,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
